Gloss,1,2,3,4,5,6,7,8,9,10,11,12
DEPOSIT,,,,,,,,,,,,
DEPRESSED,,,,,,,,,,,,
DESK, TABLE,,,,,,,,,,,
DESSERT,,,,,,,,,,,,
DESTROY,,,,,,,,,,,,
DETROIT,,,,,,,,,,,,
DEVELOP,,,,,,,,,,,,
DIABETES,,,,,,,,,,,,
DIAPER,,,,,,,,,,,,
DICTIONARY,,,,,,,,,,,,
DIDN'T,,,,,,,,,,,,
DIE,,,,,,,,,,,,
DIET,,,,,,,,,,,,
DIFFERENT,,,,,,,,,,,,
DIFFICULT,,,,,,,,,,,,
DIG,,,,,,,,,,,,
DINNER,,,,,,,,,,,,
DINOSAUR,,,,,,,,,,,,
DIRT,,,,,,,,,,,,
DIRTY,,,,,,,,,,,,
DIRTY-MINDED,,,,,,,,,,,,
DISABLED,,,,,,,,,,,,
DISAGREE, OPPOSITE,,,,,,,,,,,
DISAPPEAR,,,,,,,,,,,,
DISCOVER,,,,,,,,,,,,
DISCUSS,,,,,,,,,,,,
DISGUSTED,,,,,,,,,,,,
DISH, PLATE,,,,,,,,,,,
DISNEYLAND,,,,,,,,,,,,
DISTANCE,,,,,,,,,,,,
DIVIDE,,,,,,,,,,,,
DIVORCE,,,,,,,,,,,,
DIZZY,,,,,,,,,,,,
DO, BEHAVIOR/ACTION,,,,,,,,,,,
DO-WHAT? [#DO-(LEXICALIZED),,,,,,,,,,,,
DOCTOR,,,,,,,,,,,,
DOCTOR/[NURSE,,,,,,,,,,,,
DOG,,,,,,,,,,,,
DOLL,,,,,,,,,,,,
DOLLAR,,,,,,,,,,,,
DOLPHIN,,,,,,,,,,,,
DON'T,,,,,,,,,,,,
DON'T-CARE,,,,,,,,,,,,
DON'T-FORGET,,,,,,,,,,,,
DON'T-HAVE,,,,,,,,,,,,
DON'T-KNOW,,,,,,,,,,,,
DON'T-LIKE,,,,,,,,,,,,
DON'T-MIND,,,,,,,,,,,,
DON'T-WANT,,,,,,,,,,,,
DONE-(FINISH),,,,,,,,,,,,
DONKEY, STUBBORN,,,,,,,,,,,
DONUT,,,,,,,,,,,,
DOOR, OPEN, OPEN DOOR, CLOSE DOOR,,,,,,,,,
DORM,,,,,,,,,,,,
DOTS,,,,,,,,,,,,
DOUGH,,,,,,,,,,,,
